859/549 _1.56
254-954 _-700
899-280 _619
212*949 _201188
562/503 _1.12
146/6 _24.33
636/537 _1.18
839*216 _181224
234+949 _1183
493+919 _1412
85-200 _-115
284*70 _19880
429/1 _429.0
68-27 _41
304/223 _1.36
311-549 _-238
521/676 _0.77
629/518 _1.21
400-429 _-29
689+593 _1282
72/179 _0.4
932+32 _964
979-568 _411
144-742 _-598
117/154 _0.76
819+285 _1104
845/75 _11.27
307/856 _0.36
441/713 _0.62
681-830 _-149
458/507 _0.9
847-178 _669
386*756 _291816
388-116 _272
660/266 _2.48
36*23 _828
6*553 _3318
442*819 _361998
5-999 _-994
577*401 _231377
685+720 _1405
466*84 _39144
178-69 _109
786*965 _758490
398*409 _162782
20/537 _0.04
477*987 _470799
178-762 _-584
201/408 _0.49
482*265 _127730
710/649 _1.09
162*544 _88128
410+692 _1102
603+290 _893
484*796 _385264
590*895 _528050
890/783 _1.14
314+641 _955
920-800 _120
450/729 _0.62
709*575 _407675
975*552 _538200
971/699 _1.39
891/441 _2.02
941-971 _-30
791/129 _6.13
40-405 _-365
344*663 _228072
193*187 _36091
12*310 _3720
879-660 _219
232+745 _977
813*636 _517068
378+675 _1053
655+952 _1607
812/91 _8.92
604+763 _1367
191*838 _160058
964+315 _1279
680/472 _1.44
719-656 _63
770+35 _805
494+976 _1470
205-516 _-311
85/833 _0.1
59/977 _0.06
784-270 _514
982+352 _1334
930-823 _107
159/122 _1.3
988-254 _734
46-360 _-314
517-307 _210
956/863 _1.11
782/971 _0.81
84+645 _729
639+34 _673
114-275 _-161
178*487 _86686
989*667 _659663
85*911 _77435
776+672 _1448
101*964 _97364
172+278 _450
352/375 _0.94
138-712 _-574
111/236 _0.47
204/322 _0.63
986*317 _312562
123-934 _-811
500*616 _308000
966+98 _1064
508*782 _397256
339+884 _1223
913+894 _1807
509-883 _-374
578-621 _-43
58+950 _1008
641-325 _316
683+987 _1670
134*787 _105458
362*149 _53938
420*736 _309120
693+863 _1556
283+856 _1139
580/263 _2.21
138-464 _-326
784*897 _703248
948/266 _3.56
714*924 _659736
169*577 _97513
208-740 _-532
647/346 _1.87
300+63 _363
793-749 _44
120*226 _27120
173/551 _0.31
861/519 _1.66
719/478 _1.5
18+23 _41
641+637 _1278
677/531 _1.27
19/769 _0.02
712+415 _1127
621+501 _1122
60-421 _-361
597/534 _1.12
282+778 _1060
722-223 _499
34*413 _14042
694-632 _62
359/940 _0.38
213-996 _-783
967+391 _1358
112-756 _-644
570+138 _708
347/713 _0.49
144-558 _-414
367*879 _322593
249/506 _0.49
831*773 _642363
993/844 _1.18
303*835 _253005
578-894 _-316
214*226 _48364
846+426 _1272
646/93 _6.95
301-159 _142
671*112 _75152
205+346 _551
349/502 _0.7
701+484 _1185
330*129 _42570
26+789 _815
938*310 _290780
471-878 _-407
543-680 _-137
769*276 _212244
449/879 _0.51
832-593 _239
140*806 _112840
409-250 _159
231-853 _-622
542/807 _0.67
237+878 _1115
388/421 _0.92
479+190 _669
483+18 _501
742*946 _701932
414*255 _105570
375*516 _193500
308+488 _796
256+549 _805
287/651 _0.44
427+71 _498
370-613 _-243
68/567 _0.12
288*114 _32832
139*120 _16680
273-316 _-43
727*887 _644849
222/158 _1.41
266+356 _622
59*454 _26786
244-679 _-435
114*711 _81054
382+970 _1352
688*71 _48848
541/946 _0.57
657*614 _403398
630/679 _0.93
420*628 _263760
279-214 _65
104/683 _0.15
805-359 _446
558/343 _1.63
127*118 _14986
255-64 _191
666/35 _19.03
530/571 _0.93
706/331 _2.13
306/412 _0.74
20/275 _0.07
121-885 _-764
726/89 _8.16
691+172 _863
915/692 _1.32
160/446 _0.36
440*76 _33440
342*377 _128934
285/365 _0.78
171/645 _0.27
197-939 _-742
235-105 _130
672-172 _500
706-856 _-150
100-974 _-874
642-420 _222
539+976 _1515
764*151 _115364
470/76 _6.18
424*761 _322664
471+573 _1044
281/329 _0.85
892*751 _669892
358*930 _332940
650/755 _0.86
453-605 _-152
751*735 _551985
826*223 _184198
136-96 _40
680/829 _0.82
44-37 _7
975-606 _369
159+335 _494
970*947 _918590
307-603 _-296
895/424 _2.11
424/68 _6.24
114+407 _521
697+612 _1309
901-739 _162
514+155 _669
392+242 _634
764*833 _636412
831*107 _88917
189-925 _-736
809*847 _685223
878+817 _1695
34-543 _-509
342/439 _0.78
905*713 _645265
827*566 _468082
814+99 _913
697+610 _1307
716/342 _2.09
746+158 _904
16+521 _537
481+581 _1062
277+265 _542
592-415 _177
146-970 _-824
206+946 _1152
362+316 _678
489+95 _584
706-862 _-156
331*370 _122470
23-22 _1
317-288 _29
756-786 _-30
888+573 _1461
755/974 _0.78
393/578 _0.68
491*474 _232734
998/769 _1.3
771+255 _1026
706/222 _3.18
901+261 _1162
419-346 _73
868+947 _1815
796*852 _678192
874/210 _4.16
933-146 _787
96+53 _149
710*40 _28400
413*379 _156527
615-234 _381
792/79 _10.03
757/416 _1.82
383*585 _224055
385-139 _246
183/181 _1.01
525*722 _379050
231/623 _0.37
196*599 _117404
443*718 _318074
693*853 _591129
90/692 _0.13
15*34 _510
949/628 _1.51
216+655 _871
921*334 _307614
296+692 _988
175+856 _1031
622/792 _0.79
339-752 _-413
378/935 _0.4
136-730 _-594
845+750 _1595
630-157 _473
375*488 _183000
156-679 _-523
115-743 _-628
31*248 _7688
904/933 _0.97
865+614 _1479
66-50 _16
952-225 _727
62/545 _0.11
892*309 _275628
358/170 _2.11
880+851 _1731
171-864 _-693
39-85 _-46
889*898 _798322
371+569 _940
808*6 _4848
106+725 _831
76*830 _63080
360*844 _303840
494+669 _1163
86*963 _82818
644/214 _3.01
127-629 _-502
554-148 _406
291-242 _49
377/751 _0.5
525-998 _-473
61+159 _220
925+979 _1904
384*893 _342912
967/470 _2.06
520*3 _1560
207-19 _188
47/186 _0.25
100/633 _0.16
669*836 _559284
685*998 _683630
536*889 _476504
419-916 _-497
481+197 _678
129*47 _6063
682/129 _5.29
466-286 _180
400*497 _198800
881/227 _3.88
449/314 _1.43
1000+128 _1128
653/823 _0.79
926-922 _4
648+560 _1208
532+82 _614
642/789 _0.81
637-48 _589
343*987 _338541
649+929 _1578
789-680 _109
34+423 _457
139/587 _0.24
589/761 _0.77
227-66 _161
406+568 _974
318/465 _0.68
844*923 _779012
215*968 _208120
629/10 _62.9
797/457 _1.74
947/5 _189.4
386/21 _18.38
771*432 _333072
575*610 _350750
636+911 _1547
110-357 _-247
456+964 _1420
754*966 _728364
531/775 _0.69
83-814 _-731
848+810 _1658
358*297 _106326
459/711 _0.65
968/756 _1.28
75-242 _-167
572*727 _415844
447/199 _2.25
1000-350 _650
422*683 _288226
254+180 _434
769+285 _1054
55/528 _0.1
66*963 _63558
527-829 _-302
36+738 _774
251+998 _1249
597-656 _-59
925-19 _906
376+776 _1152
513*276 _141588
991*859 _851269
649+128 _777
532*868 _461776
656+182 _838
754/101 _7.47
219*262 _57378
617+433 _1050
473*317 _149941
883/592 _1.49
536*387 _207432
983-298 _685
713*403 _287339
476*160 _76160
899+851 _1750
380-664 _-284
394-930 _-536
712+59 _771
260/284 _0.92
330/457 _0.72
253/630 _0.4
752/817 _0.92
161/898 _0.18
604-409 _195
962-811 _151
44/809 _0.05
147-994 _-847
192+68 _260
562/231 _2.43
472+472 _944
240+335 _575
215+785 _1000
718*790 _567220
921+184 _1105
502/448 _1.12
563-711 _-148
320-149 _171
212-307 _-95
194/332 _0.58
481+522 _1003
159*793 _126087
880-193 _687
865-158 _707
216-444 _-228
663-737 _-74
392-532 _-140
792*159 _125928
518/249 _2.08
309/568 _0.54
617-421 _196
61-145 _-84
630-278 _352
412-701 _-289
76+974 _1050
197+871 _1068
334-56 _278
292/456 _0.64
772/547 _1.41
925/251 _3.69
233-342 _-109
745+396 _1141
638-44 _594
954-375 _579
320*472 _151040
100*399 _39900
215-721 _-506
977-387 _590
811-880 _-69
403/817 _0.49
73/780 _0.09
27/931 _0.03
801/870 _0.92
577+378 _955
65-53 _12
762-882 _-120
908*195 _177060
416+38 _454
167+794 _961
236*147 _34692
199/258 _0.77
671-832 _-161
99/966 _0.1
335/950 _0.35
589*510 _300390
595+164 _759
959+578 _1537
74/116 _0.64
103*980 _100940
988-464 _524
417+907 _1324
883-884 _-1
925/533 _1.74
784*588 _460992
196/50 _3.92
505-529 _-24
272-189 _83
645+824 _1469
717/176 _4.07
628+751 _1379
77+955 _1032
850-424 _426
776-136 _640
290*564 _163560
793-946 _-153
259/442 _0.59
796-734 _62
307+199 _506
880/42 _20.95
323+98 _421
214/318 _0.67
102/198 _0.52
710-791 _-81
914/933 _0.98
485/721 _0.67
212*116 _24592
425/958 _0.44
497/710 _0.7
277*557 _154289
194*347 _67318
940-481 _459
781/326 _2.4
146+368 _514
424/352 _1.2
232*715 _165880
834*757 _631338
261*221 _57681
362+101 _463
915+437 _1352
654*40 _26160
950-480 _470
402/938 _0.43
888-196 _692
316+499 _815
171*138 _23598
188/871 _0.22
206*395 _81370
599+885 _1484
663+29 _692
517*169 _87373
290+857 _1147
805*900 _724500
961*368 _353648
454+948 _1402
266+762 _1028
896-68 _828
283+760 _1043
497-361 _136
402/480 _0.84
122-546 _-424
306+542 _848
242-872 _-630
610-172 _438
885-921 _-36
87+154 _241
255/714 _0.36
380-421 _-41
786+369 _1155
705-634 _71
561-102 _459
104/493 _0.21
477/206 _2.32
555/875 _0.63
50-990 _-940
440/445 _0.99
118+953 _1071
515/10 _51.5
362+628 _990
463+266 _729
220*368 _80960
681*910 _619710
662/77 _8.6
60-240 _-180
947-610 _337
136*642 _87312
610-929 _-319
986+768 _1754
246-695 _-449
86/352 _0.24
312-713 _-401
937+479 _1416
719/329 _2.19
279+283 _562
169/851 _0.2
877+62 _939
225/243 _0.93
817-500 _317
560+773 _1333
424/87 _4.87
954*665 _634410
128+44 _172
474*943 _446982
753*900 _677700
774+226 _1000
82*24 _1968
876-626 _250
195-659 _-464
341+61 _402
13+391 _404
805*283 _227815
736+177 _913
504/454 _1.11
735+171 _906
878*902 _791956
180/627 _0.29
822/934 _0.88
821*129 _105909
562*569 _319778
537*165 _88605
161-393 _-232
923*707 _652561
500-259 _241
676/675 _1.0
532+99 _631
401*571 _228971
523+925 _1448
416+654 _1070
859*859 _737881
358*684 _244872
885*673 _595605
777+328 _1105
184-103 _81
912/917 _0.99
88-949 _-861
190-711 _-521
571/443 _1.29
662/151 _4.38
657+172 _829
729/513 _1.42
585/600 _0.97
449+281 _730
469*892 _418348
70-289 _-219
818+229 _1047
487/78 _6.24
783/62 _12.63
949-266 _683
190-547 _-357
788/695 _1.13
234*23 _5382
947*130 _123110
957-927 _30
716-247 _469
635*354 _224790
901/387 _2.33
780+498 _1278
697-624 _73
72/25 _2.88
675/992 _0.68
736+19 _755
96/732 _0.13
374/440 _0.85
506+410 _916
816*697 _568752
254/252 _1.01
147*525 _77175
757*144 _109008
781/681 _1.15
585+516 _1101
682-778 _-96
813/788 _1.03
962+641 _1603
384*647 _248448
80+194 _274
134/365 _0.37
616/332 _1.86
852/695 _1.23
779*361 _281219
410/964 _0.43
571/318 _1.8
750*880 _660000
633-136 _497
646+448 _1094
398/119 _3.34
722/489 _1.48
818+717 _1535
571-857 _-286
278/89 _3.12
994-344 _650
8/911 _0.01
238*419 _99722
704+303 _1007
615-690 _-75
211-427 _-216
73*797 _58181
549*479 _262971
833-144 _689
757+331 _1088
358*788 _282104
124-119 _5
182+461 _643
272+799 _1071
724+338 _1062
920/877 _1.05
568*906 _514608
754*738 _556452
174+424 _598
598+526 _1124
39+3 _42
500+816 _1316
722*541 _390602
256-193 _63
417+320 _737
216+805 _1021
349-173 _176
960+462 _1422
323-1 _322
139*903 _125517
697-891 _-194
169-406 _-237
502*79 _39658
545-893 _-348
366/856 _0.43
920/88 _10.45
278-227 _51
544/923 _0.59
575-415 _160
501-637 _-136
471+979 _1450
501-734 _-233
313-728 _-415
301/640 _0.47
941*417 _392397
678/299 _2.27
837/585 _1.43
332+740 _1072
914+576 _1490
232*387 _89784
428+212 _640
686/471 _1.46
645+328 _973
30/525 _0.06
215-867 _-652
471*19 _8949
466+363 _829
832/398 _2.09
464-10 _454
193*328 _63304
190-915 _-725
144-531 _-387
257/513 _0.5
590-928 _-338
211+261 _472
205*568 _116440
287-824 _-537
116*9 _1044
545-141 _404
713-807 _-94
526*275 _144650
631*969 _611439
604-675 _-71
322-762 _-440
985+83 _1068
14+234 _248
938/436 _2.15
923-359 _564
114/269 _0.42
713+913 _1626
924/599 _1.54
789-231 _558
65+2 _67
830-71 _759
495*739 _365805
828*36 _29808
97-36 _61
128+464 _592
990*994 _984060
172/230 _0.75
540/250 _2.16
327-67 _260
880+879 _1759
579*588 _340452
267*249 _66483
930*539 _501270
313*316 _98908
947*268 _253796
522-687 _-165
91/585 _0.16
10+71 _81
251*631 _158381
903/267 _3.38
808+816 _1624
274-859 _-585
843*973 _820239
501+514 _1015
124+597 _721
665/56 _11.88
22/949 _0.02
220-309 _-89
744+602 _1346
265-518 _-253
47+976 _1023
454/380 _1.19
938-261 _677
74+792 _866
833+109 _942
739*147 _108633
876/484 _1.81
851/500 _1.7
835-759 _76
83+151 _234
880-512 _368
24-318 _-294
335*485 _162475
274+358 _632
347-416 _-69
611/333 _1.83
149/368 _0.4
737+57 _794
560+707 _1267
549-277 _272
411+438 _849
643*500 _321500
805+454 _1259
818/210 _3.9
535+566 _1101
176-887 _-711
585*527 _308295
796+133 _929
466*843 _392838
470-571 _-101
371/707 _0.52
11+864 _875
152*456 _69312
921-899 _22
215*69 _14835
563/392 _1.44
75/968 _0.08
288-180 _108
101/414 _0.24
956-302 _654
270+285 _555
420/168 _2.5
763+455 _1218
274+694 _968
782+225 _1007
271*953 _258263
932+635 _1567
957/415 _2.31
2/733 _0.0
63-656 _-593
906-356 _550
395/812 _0.49
26*714 _18564
753/668 _1.13
495*826 _408870
637+678 _1315
295*853 _251635
96*741 _71136
716+186 _902
718*834 _598812
7*715 _5005
827/954 _0.87
192+300 _492
662/481 _1.38
829+324 _1153
237*182 _43134
394-879 _-485
732/373 _1.96
358/657 _0.54
915+795 _1710
255*23 _5865
408*696 _283968
650+936 _1586
217*366 _79422
619/405 _1.53
6*612 _3672
153+664 _817
645*902 _581790
939-581 _358
932*410 _382120
786*886 _696396
797+480 _1277
583/977 _0.6
641+138 _779
947/600 _1.58
976/349 _2.8
844+945 _1789
794/532 _1.49
219-394 _-175
275*478 _131450
632/343 _1.84
906/999 _0.91
896-947 _-51
113-797 _-684
944/545 _1.73
373+362 _735
763*326 _248738
30+942 _972
400+800 _1200
385+246 _631
149-715 _-566
680/158 _4.3
129*663 _85527
784*287 _225008
665/132 _5.04
341+796 _1137
338/268 _1.26
660-280 _380
540+853 _1393
447-508 _-61
625/22 _28.41
968-458 _510
606+982 _1588
665/86 _7.73
130-864 _-734
248+328 _576
759-429 _330
202*511 _103222
994-948 _46
485-932 _-447
313/191 _1.64
253-298 _-45
70/803 _0.09
832-10 _822
95*170 _16150
659-475 _184
422/172 _2.45
79*643 _50797
994*19 _18886
353-259 _94
511+114 _625
654/965 _0.68
865+80 _945
946*210 _198660
501+408 _909
978/115 _8.5
680/785 _0.87
28+753 _781
913-66 _847
21/890 _0.02
46/992 _0.05
545-179 _366
467-742 _-275
516-807 _-291
387*883 _341721
815*709 _577835
240/610 _0.39
824-49 _775
126*884 _111384
379-397 _-18
216-71 _145
12+647 _659
267+261 _528
269+181 _450
775+741 _1516
997/578 _1.72
621*752 _466992
929-213 _716
755+307 _1062
95+654 _749
121*968 _117128
233-465 _-232
364-453 _-89
311-407 _-96
924*163 _150612
352/121 _2.91
124+26 _150
390/893 _0.44
109+737 _846
8+590 _598
715-789 _-74
662*710 _470020
364+472 _836
849*324 _275076
197+156 _353
5+873 _878
3-963 _-960
643-518 _125
148*168 _24864
907-329 _578
190/494 _0.38
203+45 _248
944+47 _991
800*475 _380000
480*65 _31200
315*929 _292635
691*183 _126453
219*503 _110157
453/632 _0.72
132+10 _142
742*189 _140238
461*296 _136456
964-959 _5
83/95 _0.87
100/94 _1.06
607*943 _572401
317-862 _-545
304/668 _0.46
831/526 _1.58
974*608 _592192
116/241 _0.48
662/748 _0.89
866/313 _2.77
749-30 _719
840/808 _1.04
677*565 _382505
777/833 _0.93
648/663 _0.98
286+774 _1060
446-136 _310
375*643 _241125
761/978 _0.78
361-590 _-229
749/618 _1.21
813+221 _1034
42-530 _-488
681*57 _38817
262/633 _0.41
692/115 _6.02
324-218 _106
284*567 _161028
464*861 _399504
223+772 _995
304/52 _5.85
502+178 _680
301-879 _-578
351*885 _310635
712-848 _-136
842+202 _1044
418/44 _9.5
670-477 _193
636+248 _884
56/342 _0.16
633-207 _426
162*755 _122310
761+37 _798
946*901 _852346
993*271 _269103
751/864 _0.87
297/140 _2.12
281+231 _512
39-518 _-479
947/835 _1.13
856*444 _380064
115-471 _-356
768*29 _22272
424*301 _127624
984/848 _1.16
521/180 _2.89
122*986 _120292
480/526 _0.91
25*408 _10200
238-640 _-402
990/380 _2.61
48-413 _-365
566-431 _135
251*42 _10542
41*105 _4305
915+36 _951
328+136 _464
167+717 _884
107+701 _808
441*667 _294147
707*197 _139279
335*980 _328300
387+711 _1098
753-519 _234
846+928 _1774
468-778 _-310
439/379 _1.16
799-812 _-13
563/577 _0.98
925+860 _1785
75/708 _0.11
403+551 _954
185*472 _87320
705+993 _1698
54*22 _1188
57*860 _49020
250/100 _2.5
705/681 _1.04
159+499 _658
446/505 _0.88
462+502 _964
365*351 _128115
465+767 _1232
478/462 _1.03
870/172 _5.06
772/782 _0.99
896*164 _146944
57/8 _7.12
723*856 _618888
277+950 _1227
537+180 _717
802+281 _1083
585+819 _1404
645-409 _236
661-487 _174
456-312 _144
379+731 _1110
263*509 _133867
164-590 _-426
879-748 _131
527+808 _1335
815+612 _1427
511*490 _250390
604+766 _1370
775*597 _462675
556+797 _1353
939+255 _1194
400*243 _97200
899*93 _83607
906*684 _619704
254/198 _1.28
106+340 _446
199+443 _642
511-599 _-88
469-335 _134
875-56 _819
246+848 _1094
77*914 _70378
157*852 _133764
771-279 _492
264+125 _389
120/88 _1.36
361*73 _26353
670+158 _828
105-107 _-2
52/33 _1.58
783-612 _171
765*468 _358020
401-932 _-531
252-710 _-458
421*370 _155770
863/832 _1.04
746*354 _264084
45-701 _-656
152/819 _0.19
442-669 _-227
846-182 _664
215/316 _0.68
844*489 _412716
378*792 _299376
10+715 _725
680-57 _623
584/394 _1.48
448-47 _401
532*147 _78204
282/348 _0.81
174/463 _0.38
73+505 _578
246/435 _0.57
216-32 _184
322-380 _-58
90+788 _878
926-208 _718
819-455 _364
566-352 _214
680+147 _827
207*692 _143244
729+260 _989
89-316 _-227
974*623 _606802
251-514 _-263
678*28 _18984
32-923 _-891
813-126 _687
48+263 _311
543-300 _243
345+532 _877
28-193 _-165
585/197 _2.97
826+122 _948
828/651 _1.27
98*733 _71834
42+6 _48
914/313 _2.92
384+380 _764
942+850 _1792
969-559 _410
622+980 _1602
755/841 _0.9
509*55 _27995
485+883 _1368
860+205 _1065
689/831 _0.83
514/655 _0.78
125-853 _-728
584+257 _841
242+927 _1169
706*526 _371356
864*835 _721440
565-352 _213
416-253 _163
803/876 _0.92
70*569 _39830
242+553 _795
603-668 _-65
205-676 _-471
102-40 _62
360-246 _114
390/6 _65.0
12+878 _890
179+800 _979
440+723 _1163
935*151 _141185
831*552 _458712
18*994 _17892
678-744 _-66
782*200 _156400
957*998 _955086
458/64 _7.16
515/141 _3.65
935+524 _1459
63-524 _-461
969/645 _1.5
920*133 _122360
344+42 _386
178*759 _135102
18*912 _16416
127*849 _107823
12/439 _0.03
361+805 _1166
900-330 _570
121*797 _96437
613*864 _529632
205*167 _34235
654*117 _76518
537-286 _251
610/875 _0.7
206*345 _71070
807+455 _1262
930*504 _468720
602*777 _467754
495-107 _388
363*669 _242847
49+916 _965
618+458 _1076
815+492 _1307
314+258 _572
570*686 _391020
531-816 _-285
31+71 _102
56*866 _48496
631+553 _1184
132/223 _0.59
294*415 _122010
122/474 _0.26
419*599 _250981
850/306 _2.78
997*364 _362908
618+570 _1188
617*511 _315287
277-292 _-15
323-979 _-656
291*267 _77697
877/543 _1.62
668*535 _357380
230/470 _0.49
698/350 _1.99
919+921 _1840
473*642 _303666
259-721 _-462
550+676 _1226
993/667 _1.49
553*481 _265993
398/782 _0.51
715/713 _1.0
108+448 _556
6*166 _996
197+605 _802
883*164 _144812
283-885 _-602
799+202 _1001
337*336 _113232
790+916 _1706
345/993 _0.35
68/736 _0.09
702*40 _28080
7+607 _614
471*386 _181806
331+149 _480
539+856 _1395
368+950 _1318
397*329 _130613
615-15 _600
242*620 _150040
795/607 _1.31
610/568 _1.07
259*31 _8029
249/329 _0.76
140*272 _38080
605-136 _469
309/450 _0.69
652/825 _0.79
253+959 _1212
205-499 _-294
757+369 _1126
379/604 _0.63
923*244 _225212
37/739 _0.05
111-819 _-708
638*985 _628430
267-849 _-582
710+700 _1410
885/541 _1.64
426+758 _1184
65+364 _429
904-19 _885
699+504 _1203
594-603 _-9
738+673 _1411
720*792 _570240
935/298 _3.14
104+315 _419
356-572 _-216
663*49 _32487
497*240 _119280
913+772 _1685
135/7 _19.29
514*537 _276018
446/657 _0.68
303-209 _94
79/223 _0.35
686-101 _585
573+796 _1369
202*922 _186244
851*799 _679949
533/718 _0.74
79-287 _-208
222+944 _1166
762/756 _1.01
869-105 _764
131/732 _0.18
339+207 _546
543/396 _1.37
620*167 _103540
667*358 _238786
520/875 _0.59
584*487 _284408
674+737 _1411
787*439 _345493
592+281 _873
555+356 _911
61*775 _47275
620-781 _-161
210/16 _13.12
757/346 _2.19
438+72 _510
952*943 _897736
937+158 _1095
529/428 _1.24
411+401 _812
895*496 _443920
420-595 _-175
755-201 _554
484*1000 _484000
312-891 _-579
902-624 _278
957+611 _1568
475+505 _980
978/366 _2.67
460+422 _882
205/796 _0.26
584*98 _57232
152*143 _21736
54/509 _0.11
329/132 _2.49
575+954 _1529
28*643 _18004
919+618 _1537
233-555 _-322
973-278 _695
900/623 _1.44
191+499 _690
253*339 _85767
307-487 _-180
191*803 _153373
825*961 _792825
135/537 _0.25
968/659 _1.47
267/265 _1.01
507/141 _3.6
553-371 _182
186+240 _426
962/767 _1.25
156-732 _-576
973+372 _1345
902/273 _3.3
284*493 _140012
535/759 _0.7
113-500 _-387
452-393 _59
42-215 _-173
958/730 _1.31
598-479 _119
207-692 _-485
222*318 _70596
429/215 _2.0
925*880 _814000
603*220 _132660
974*843 _821082
228*493 _112404
876+64 _940
716-323 _393
400+631 _1031
509-318 _191
591-621 _-30
264+525 _789
917*423 _387891
396+762 _1158
39*263 _10257
332+837 _1169
359*727 _260993
178-999 _-821
723/894 _0.81
853*634 _540802
468-11 _457
343/997 _0.34
603-723 _-120
967-90 _877
96/396 _0.24
141+83 _224
378-869 _-491
79-136 _-57
150/203 _0.74
769-420 _349
266/635 _0.42
126/291 _0.43
592/260 _2.28
758+837 _1595
756*119 _89964
542/18 _30.11
925/915 _1.01
948+422 _1370
321*61 _19581
171/748 _0.23
479/64 _7.48
8/242 _0.03
53*503 _26659
636+205 _841
630-330 _300
253/141 _1.79
787*94 _73978
320*957 _306240
794+517 _1311
95*834 _79230
509/661 _0.77
797*792 _631224
646-744 _-98
866*19 _16454
565*879 _496635
138/858 _0.16
906-345 _561
767+575 _1342
307/22 _13.95
679/521 _1.3
992-611 _381
414/283 _1.46
96/186 _0.52
80/105 _0.76
504+632 _1136
643/803 _0.8
593+418 _1011
423*214 _90522
917/442 _2.07
821-46 _775
186*879 _163494
771+887 _1658
155+656 _811
656+981 _1637
273-243 _30
611-147 _464
380/465 _0.82
295-449 _-154
691-670 _21
709*921 _652989
212-376 _-164
537+669 _1206
148-511 _-363
345-196 _149
486-385 _101
197*377 _74269
9-235 _-226
722*946 _683012
163*723 _117849
590-266 _324
689-432 _257
582+19 _601
633*796 _503868
885/219 _4.04
602+173 _775
467-243 _224
921*881 _811401
544*54 _29376
19-879 _-860
402*870 _349740
848/364 _2.33
153/934 _0.16
122*570 _69540
126/278 _0.45
949+19 _968
765/706 _1.08
303*493 _149379
126-513 _-387
529+262 _791
839-366 _473
323/702 _0.46
691/56 _12.34
96*240 _23040
202-312 _-110
306*739 _226134
472+877 _1349
800*974 _779200
71*280 _19880
242+68 _310
636+793 _1429
349+337 _686
923-393 _530
324+299 _623
795*130 _103350
885/544 _1.63
242-303 _-61
447/114 _3.92
168*628 _105504
518/799 _0.65
19-251 _-232
287*197 _56539
195+732 _927
621+465 _1086
874+788 _1662
674/796 _0.85
262/124 _2.11
604/420 _1.44
327*494 _161538
836/84 _9.95
693-208 _485
885+410 _1295
792-17 _775
771+23 _794
628*509 _319652
95/477 _0.2
824*56 _46144
361/797 _0.45
782*748 _584936
135+223 _358
226/248 _0.91
555/589 _0.94
271*462 _125202
746/956 _0.78
347*658 _228326
67-694 _-627
30*323 _9690
108*688 _74304
798/244 _3.27
903+320 _1223
543*663 _360009
892-665 _227
53/935 _0.06
245-413 _-168
291+495 _786
48-504 _-456
260/527 _0.49
106-989 _-883
923-758 _165
254-535 _-281
899/711 _1.26
945*493 _465885
756+549 _1305
706/461 _1.53
95*522 _49590
425+357 _782
819*751 _615069
419-541 _-122
814*827 _673178
739-58 _681
837/245 _3.42
547*615 _336405
667*442 _294814
354-688 _-334
367-337 _30
287/99 _2.9
906*642 _581652
80/770 _0.1
416-788 _-372
157/622 _0.25
786*892 _701112
329+581 _910
179+905 _1084
263-919 _-656
284*193 _54812
992/355 _2.79
891+430 _1321
369/114 _3.24
846*833 _704718
102/741 _0.14
566-232 _334
86/143 _0.6
872-147 _725
142-371 _-229
897*850 _762450
36*20 _720
43+658 _701
427*812 _346724
371*428 _158788
414-683 _-269
932/785 _1.19
162+513 _675
683+772 _1455
21-334 _-313
578/653 _0.89
93*383 _35619
140*459 _64260
167-87 _80
960-338 _622
190*779 _148010
267*147 _39249
542/170 _3.19
598/770 _0.78
876+125 _1001
245/751 _0.33
871/938 _0.93
702+827 _1529
51+448 _499
364/549 _0.66
885+229 _1114
512/122 _4.2
623+304 _927
510/77 _6.62
904+550 _1454
65/176 _0.37
654*561 _366894
867/399 _2.17
101/449 _0.22
704*351 _247104
685*653 _447305
713/291 _2.45
272*965 _262480
238+754 _992
969+526 _1495
749*230 _172270
936/696 _1.34
742-934 _-192
850/330 _2.58
746/888 _0.84
295/439 _0.67
645*365 _235425
237/981 _0.24
123/84 _1.46
469/867 _0.54
19+14 _33
361*919 _331759
449/552 _0.81
36-104 _-68
444+420 _864
110-474 _-364
259+517 _776
176+791 _967
819-278 _541
503/844 _0.6
95/476 _0.2
691/320 _2.16
810+34 _844
839+927 _1766
779/264 _2.95
220*152 _33440
572-368 _204
753/163 _4.62
466*652 _303832
272+453 _725
532/409 _1.3
298*712 _212176
139+744 _883
839/102 _8.23
936+24 _960
234/892 _0.26
515-174 _341
917/209 _4.39
22/522 _0.04
482-340 _142
958-527 _431
722/362 _1.99
356/432 _0.82
983-673 _310
378*695 _262710
349-676 _-327
998-373 _625
277*8 _2216
211+105 _316
90+462 _552
893+875 _1768
822*912 _749664
986-569 _417
115*450 _51750
866/709 _1.22
285*355 _101175
209/749 _0.28
970+156 _1126
456-873 _-417
329-395 _-66
946*698 _660308
232*13 _3016
500-753 _-253
601*550 _330550
921/106 _8.69
561/792 _0.71
394/705 _0.56
233*906 _211098
339/383 _0.89
568+475 _1043
226-299 _-73
439*240 _105360
1-18 _-17
16+67 _83
415+177 _592
937+509 _1446
537/383 _1.4
522-81 _441
515+146 _661
925-327 _598
168-683 _-515
115*856 _98440
581+588 _1169
721/590 _1.22
270+649 _919
886*989 _876254
896-34 _862
57/861 _0.07
696+306 _1002
